,map_id
2845,R59986
2846,R15028
2847,R15049
2848,R59957
2849,R15264
2850,R58530
2851,R15024
2852,R15282
2853,R10119
2854,R58510
2855,R59356
2856,R58677
2857,R14785
2858,R15724
2859,R59299
2860,R59376
2861,R323843
2862,R15719
2863,R59373
2864,R15691
2865,R59289
2866,R60823
2867,R60745
2868,R15270
2869,R15243
2870,R15223
2871,R319101
2872,R14749
2873,R62793
2874,R60801
2875,R10970
2876,R319100
2877,R60753
2878,R59150
2879,R15195
2880,R60089
2881,R58903
2882,R63508
2883,R60227
2884,R60073
2886,R15192
2887,R60289
2888,R58879
2892,R11528
2910,R304591
2915,R304649
2916,R304611
2918,R18907
2919,R304651
2921,R18904
2923,R18721
2924,R18709
2925,R304565
2926,R304570
2928,R17975
2929,R304464
2932,R304478
2934,R304550
2936,R17967
2937,R18681
2938,R17941
2939,R17936
2943,R312624
2944,R304358
2948,R18874
2949,R18867
2954,R304178
2957,R304113
2961,R18850
2962,R304159
2963,R304130
2967,R304153
2969,R306354
2970,R306346
2971,R322416
2972,R306455
2973,R306271
2974,R306319
2975,R323605
2976,R18933
2979,R306334
2980,R306269
2981,R306324
2982,R306423
2983,R306313
2984,R18952
2985,R18929
2986,R306222
2987,R323614
2988,R323611
2989,R323608
2990,R306226
2991,R19344
2992,R306253
2993,R18950
2994,R306221
2995,R306232
2996,R306265
2997,R323602
2998,R306251
2999,R306214
3000,R306196
3001,R306185
3002,R303928
3003,R306212
3005,R303927
3006,R306178
3007,R306206
3010,R18659
3013,R303902
3014,R18820
3015,R303807
3016,R303703
3017,R303840
3018,R18653
3020,R18814
3022,R303696
3023,R303706
3025,R18638
3026,R303675
3027,R303676
3029,R303673
3031,R303479
3032,R18615
3033,R303428
3034,R18809
3035,R303465
3036,R303418
3037,R18612
3038,R303414
3039,R303423
3040,R303460
3041,R303422
3042,R303421
3043,R303424
3045,R303403
3046,R303399
3051,R19339
3064,R18889
3069,R19092
3072,R18899
3073,R11337
3079,R18848
3081,R18883
3085,R18879
3093,R19142
3095,R307910
3096,R19432
3097,R307885
3098,R19159
3099,R19435
3100,R307786
3101,R307830
3102,R19311
3107,R307743
3108,R307722
3109,R19166
3110,R307759
3111,R307727
3112,R19129
3113,R19428
3116,R307684
3117,R307697
3118,R307674
3119,R307682
3124,R19123
3125,R19427
3126,R19156
3127,R307535
3129,R322926
3130,R307544
3131,R307643
3132,R321185
3133,R307539
3134,R19421
3135,R307527
3136,R307511
3137,R307521
3138,R307516
3139,R307509
3140,R307488
3141,R307472
3142,R19416
3143,R307520
3144,R307468
3145,R307490
3146,R19152
3147,R307463
3148,R307471
3149,R307408
3150,R307389
3151,R307391
3152,R307384
3153,R307394
3154,R307358
3155,R307356
3156,R307361
3157,R317691
3158,R307392
3159,R307387
3160,R307357
3161,R307349
3162,R321183
3163,R307390
3164,R307363
3165,R321184
3168,R302076
3169,R323623
3172,R320783
3174,R319773
3177,R301994
3179,R301992
3180,R301932
3181,R301971
3182,R301959
3183,R301933
3184,R301983
3185,R301951
3186,R301941
3187,R301976
3188,R301894
3189,R301944
3190,R301945
3191,R301907
3192,R301898
3193,R301940
3194,R301984
3195,R301886
3198,R301864
3199,R301869
3200,R301890
3201,R301811
3202,R301804
3206,R301893
3207,R11687
